BATS_id,type,cruise,cast,mtime,year,month,day,hour,doy,lat,lon,MLD_dens125,MLD_bvfrq,MLD_densT2,MLD_densT3,MLD_densT1,MLD_dens2,MLD_densGR,MLD_te2,DCM,DCMde_top,Season,Sunrise,Sunset,par0,kpar,z_par_1pcnt,z_par_halfpcnt,z_par_tenthpcnt,fluor_offset
10030001,1,30,1,727270.989583333,1991,3,13,23.75,72,31.755,-64.168,129.056345575792,125.086593188251,127.071478989149,127.071478989149,125.086593188251,174.702976656031,3.97217809104603,125.086593188251,NaN,NaN,NaN,1035.172,2219.17200000001,NaN,NaN,NaN,NaN,NaN,NaN
10030002,1,30,2,727271.506944444,1991,3,14,12.1666666666667,73,31.807,-64.241,176.686623718841,113.176388805748,146.918649501549,158.826357427785,121.116243832105,198.513727856886,81.413892347267,123.10115954141,107.221295704242,176.686623718841,1,1033.96399999999,2220.464,255.287117877656,0.0397754644583307,117.14635475911,135.010250291332,174.702226440615,NaN
10031001,1,31,1,727303.763888889,1991,4,15,18.3333333333333,105,31.74,-64.153,243.154198821727,8.93730327651562,40.7112196194726,92.3333166696369,18.8671822391892,364.127778954898,6.95126963409286,28.7965792283723,NaN,NaN,NaN,953.611999999996,2241.61199999999,NaN,NaN,NaN,NaN,NaN,NaN
10031002,1,31,2,727304.315972222,1991,4,16,7.58333333333333,106,31.769,-64.156,297.699558638714,19.8600960832667,184.624600437376,238.194177214945,51.6322404247373,386.925388127378,17.8741732468806,166.764968846889,NaN,NaN,NaN,952.624000000001,2242.124,NaN,NaN,NaN,NaN,NaN,NaN
10031003,1,31,3,727304.500694444,1991,4,16,12.0166666666667,106,31.767,-64.165,250.09667243468,5.95823230169423,27.8035992488677,83.3994681579038,21.8460032487454,-999,3.97217415599759,27.8035992488677,69.5019161111133,250.09667243468,2,952.659999999992,2242.16000000001,812.571979382438,0.0474885167411983,97.2960774293119,113.176762699502,146.919134865648,NaN
10031004,1,31,4,727304.583333333,1991,4,16,14,106,31.77,-64.139,240.177947568399,5.95823082586649,17.8741717710722,65.5309975034899,13.902268586621,-999,3.97217317210743,17.8741717710722,59.5745010294893,240.177947568399,2,952.556000000002,2242.056,1869.37896946466,0.0525938663917767,89.3552511311192,101.266339032278,133.025856380926,NaN
10031005,1,31,5,727304.736111111,1991,4,16,17.6666666666667,106,31.749,-64.194,148.904028661741,7.94428296517081,19.8601288728656,31.7752807606463,13.9022926875526,309.599080879691,5.95824115504704,19.8601288728656,NaN,NaN,NaN,952.775999999992,2242.27600000001,NaN,NaN,NaN,NaN,NaN,NaN
10032001,1,32,1,727331.708333333,1991,5,13,17,133,31.745,-64.147,46.6682604526597,8.93729958864001,18.8671744538718,24.8248680163293,14.8952823528881,48.6539078038506,6.95126676573059,18.8671744538718,92.3332785697127,66.5238673568337,2,925.587999999993,2300.08800000001,NaN,NaN,NaN,NaN,NaN,NaN
10032002,1,32,2,727331.746527778,1991,5,13,17.9166666666667,133,31.74,-64.121,41.7040750081519,7.94428886599193,13.9023030138321,19.8601436244688,11.9163175813829,47.6611062026933,3.97218300870332,15.8882691643678,89.3554724062191,63.5456752929632,2,925.483999999983,2259.984,NaN,NaN,NaN,NaN,NaN,NaN
10032003,1,32,3,727332.267361111,1991,5,14,6.41666666666667,134,31.765,-63.9,46.6681834077361,24.824827032698,44.6825200723794,44.6825200723794,38.7254144808059,50.6394522928341,22.8389517339989,44.6825200723794,NaN,NaN,NaN,924.099999999985,2259.59999999999,NaN,NaN,NaN,NaN,NaN,NaN
