BATS_id,type,cruise,cast,mtime,year,month,day,hour,doy,lat,lon,MLD_dens125,MLD_bvfrq,MLD_densT2,MLD_densT3,MLD_densT1,MLD_dens2,MLD_densGR,MLD_te2,DCM,Season,Sunrise,Sunset,par0,kpar,z_par_1pcnt,z_par_halfpcnt,z_par_tenthpcnt,fluor_offset
10016001,1,16,1,726848.759027778,1990,1,15,18.2166666666667,15,31.829,-64.175,90.3474278885487,52.6247796293138,66.5234058383414,70.4942686276221,58.5814492467668,126.078267867475,20.8529469134257,62.5524660478857,NaN,1,1120.2,2129.2,NaN,NaN,NaN,NaN,NaN,NaN
10016002,1,16,2,726849.40625,1990,1,16,9.75,16,31.862,-64.301,91.3397861469548,73.4721647405328,85.3840855062083,85.3840855062083,75.4575329764369,113.175874279642,63.5450348459634,75.4575329764369,NaN,1,1120.704,2130.704,NaN,NaN,NaN,NaN,NaN,NaN
10016003,1,16,3,726849.638888889,1990,1,16,15.3333333333333,16,31.882,-64.319,77.442753856988,59.5739495812816,63.5449297259507,69.5012555560026,59.5739495812816,113.175687058365,13.9021399003454,61.559449280203,111.19068755643,1,1120.776,2130.776,NaN,NaN,NaN,NaN,NaN,NaN
10016004,1,16,4,726850.420138889,1990,1,17,10.0833333333333,17,31.913,-64.405,117.145327892692,97.2949031343229,97.2949031343229,101.265141902239,83.3984615836008,123.100080477858,75.4572145848594,81.4131786969811,89.3541948077614,1,1121.12,2132.12,487.021743109268,0.0404637708029872,115.160371926057,131.039481567802,170.731877742119,NaN
10016005,1,16,5,726850.770833333,1990,1,17,18.5,17,31.891,-64.455,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1121.32,2132.32,NaN,NaN,NaN,NaN,NaN,NaN
10016006,1,16,6,726850.961805556,1990,1,17,23.0833333333333,17,31.921,-64.471,127.069735303518,73.4718060717867,83.3984063557722,101.265074842937,75.45716461581,136.993739940005,3.97212358372258,75.45716461581,131.039394791776,1,1121.384,2132.384,NaN,NaN,NaN,NaN,NaN,NaN
10016007,1,16,7,726851.291666667,1990,1,18,7,18,31.939,-64.513,121.114921463892,73.4716965752091,77.4423885009029,89.3540024698801,73.4716965752091,125.08469032347,7.9441581777867,73.4716965752091,105.235077230456,1,1121.552,2133.052,NaN,NaN,NaN,NaN,NaN,NaN
10016008,1,16,8,726851.525694444,1990,1,18,12.6166666666667,18,31.945,-64.54,113.175096891341,53.6170553583011,79.4276661320605,89.3539580720706,59.5736389245109,136.993467708462,7.94415423049328,61.5591282698358,85.3834990137419,1,1121.66,2133.16,152.280718151094,0.035119344094431,133.023931374434,150.886239887008,198.511461834135,NaN
10017001,1,17,1,726878.559027778,1990,2,14,13.4166666666667,45,31.825,-64.172,149.895418329707,8.93724053911192,139.971959130628,141.956689378593,136.002441014153,155.849263433362,2.97912357705014,137.987209676197,NaN,1,1104.188,2157.68800000001,NaN,NaN,NaN,NaN,NaN,NaN
10017002,1,17,2,726878.833333333,1990,2,14,20,45,31.884,-64.222,159.817617836856,139.971276271779,147.910043307694,149.894687059682,141.955996837312,165.771145959549,4.96515762791966,145.925380354099,NaN,1,1104.388,2157.888,NaN,NaN,NaN,NaN,NaN,NaN
10017004,1,17,4,726879.784722222,1990,2,15,18.8333333333333,46,31.952,-64.274,165.770212855563,161.801235640606,161.801235640606,163.785733844101,44.6818291187746,171.723534749584,12.9090864438551,161.801235640606,108.212525233006,1,1104.096,2159.096,NaN,NaN,NaN,NaN,NaN,NaN
